user_id,Recency,Frequency,Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled,cluster,user_segment
U0001,47,7,38537.93,0.1477987421383647,0.2857142857142857,0.3089752010238331,0,中等价值用户
U0002,5,6,13306.53,0.0157232704402515,0.238095238095238,0.1058876037315174,0,中等价值用户
U0003,152,6,22905.33,0.4779874213836478,0.238095238095238,0.1831483672598781,2,低流失风险用户
U0004,39,6,28554.960000000003,0.1226415094339622,0.238095238095238,0.2286222522718309,0,中等价值用户
U0005,100,6,9152.0,0.3144654088050314,0.238095238095238,0.072447782097409,2,低流失风险用户
U0006,44,1,151.16,0.1383647798742138,0.0,0.0,0,中等价值用户
U0007,52,6,8839.869999999999,0.1635220125786163,0.238095238095238,0.0699354470013441,0,中等价值用户
U0008,25,11,22925.2,0.0786163522012578,0.4761904761904761,0.1833083009360989,0,中等价值用户
U0009,62,9,20753.06,0.1949685534591195,0.3809523809523809,0.1658247410233501,0,中等价值用户
U0010,8,9,47826.25,0.0251572327044025,0.3809523809523809,0.383736910309967,1,高价值用户
U0011,64,4,7608.79,0.2012578616352201,0.1428571428571428,0.060026481217653,0,中等价值用户
U0012,21,8,26131.2,0.0660377358490566,0.3333333333333333,0.2091134023937733,0,中等价值用户
U0013,67,13,44060.72,0.210691823899371,0.5714285714285714,0.3534281505807355,1,高价值用户
U0014,32,11,34818.22,0.10062893081761,0.4761904761904761,0.2790352465811862,1,高价值用户
U0015,39,8,22638.72,0.1226415094339622,0.3333333333333333,0.1810024227497002,0,中等价值用户
U0016,10,6,13431.66,0.0314465408805031,0.238095238095238,0.10689477539259,0,中等价值用户
U0017,25,6,13105.39,0.0786163522012578,0.238095238095238,0.1042686274036333,0,中等价值用户
U0018,146,5,13612.69,0.4591194968553459,0.1904761904761904,0.1083518862836951,2,低流失风险用户
U0019,34,6,29284.17,0.1069182389937107,0.238095238095238,0.2344916652580913,0,中等价值用户
U0020,51,5,11473.1,0.160377358490566,0.1904761904761904,0.0911303213966628,0,中等价值用户
U0021,58,5,75229.35,0.1823899371069182,0.1904761904761904,0.604304525954008,1,高价值用户
U0022,23,4,29636.01,0.0723270440251572,0.1428571428571428,0.237323626236528,0,中等价值用户
U0023,318,1,1413.48,1.0,0.0,0.0101604166163604,2,低流失风险用户
U0024,94,7,9006.759999999998,0.2955974842767295,0.2857142857142857,0.0712787449995572,0,中等价值用户
U0025,50,13,20574.84,0.1572327044025157,0.5714285714285714,0.1643902478287816,0,中等价值用户
U0026,16,7,24816.44,0.050314465408805,0.2857142857142857,0.1985308960954289,0,中等价值用户
U0027,78,2,2960.1,0.2452830188679245,0.0476190476190476,0.0226091645940485,0,中等价值用户
U0028,46,6,19277.09,0.1446540880503144,0.238095238095238,0.1539446550600053,0,中等价值用户
U0029,86,9,14773.55,0.270440251572327,0.3809523809523809,0.1176956511240431,0,中等价值用户
U0030,7,5,6671.83,0.0220125786163522,0.1904761904761904,0.0524848879981326,0,中等价值用户
U0031,161,5,30844.51,0.5062893081761006,0.1904761904761904,0.2470508455476943,2,低流失风险用户
U0032,30,4,21615.46,0.0943396226415094,0.1428571428571428,0.172766200629432,0,中等价值用户
U0033,48,5,6713.84,0.1509433962264151,0.1904761904761904,0.0528230265858546,0,中等价值用户
U0034,104,7,50014.25,0.3270440251572327,0.2857142857142857,0.4013481273996088,1,高价值用户
U0035,64,7,37018.49,0.2012578616352201,0.2857142857142857,0.2967452249293699,0,中等价值用户
U0036,39,8,60545.2,0.1226415094339622,0.3333333333333333,0.486111768446301,1,高价值用户
U0037,31,2,27796.53,0.0974842767295597,0.0476190476190476,0.2225176474376001,0,中等价值用户
U0038,38,8,14690.69,0.1194968553459119,0.3333333333333333,0.1170287107912974,0,中等价值用户
U0039,28,11,17779.47,0.0880503144654088,0.4761904761904761,0.141890308196299,0,中等价值用户
U0040,10,4,3808.21,0.0314465408805031,0.1428571428571428,0.0294356039568895,0,中等价值用户
U0041,48,7,45848.53,0.1509433962264151,0.2857142857142857,0.3678182374294705,1,高价值用户
U0042,10,9,18662.07,0.0314465408805031,0.3809523809523809,0.1489943576493693,0,中等价值用户
U0043,13,7,5684.08,0.040880503144654,0.2857142857142857,0.0445344859504664,0,中等价值用户
U0044,97,5,8211.7,0.3050314465408805,0.1904761904761904,0.0648793052101192,2,低流失风险用户
U0045,21,9,27865.32,0.0660377358490566,0.3809523809523809,0.2230713383076167,0,中等价值用户
U0046,57,5,34144.3,0.1792452830188679,0.1904761904761904,0.2736108629335393,0,中等价值用户
U0047,11,12,105235.81,0.0345911949685534,0.5238095238095238,0.8458265922938851,1,高价值用户
U0048,37,7,11506.67,0.1163522012578616,0.2857142857142857,0.0914005264047521,0,中等价值用户
U0049,17,7,55464.92,0.0534591194968553,0.2857142857142857,0.4452205829087484,1,高价值用户
U0050,28,9,16230.820000000002,0.0880503144654088,0.3809523809523809,0.1294252207438888,0,中等价值用户
U0051,89,9,37594.47,0.279874213836478,0.3809523809523809,0.3013812892891926,1,高价值用户
U0052,22,9,14968.1,0.0691823899371069,0.3809523809523809,0.1192615845265979,0,中等价值用户
U0053,1,7,11372.27,0.0031446540880503,0.2857142857142857,0.090318740492116,0,中等价值用户
U0054,35,6,17000.489999999998,0.110062893081761,0.238095238095238,0.1356202963642656,0,中等价值用户
U0055,7,6,51826.810000000005,0.0220125786163522,0.238095238095238,0.4159374270559164,1,高价值用户
U0056,45,11,23587.26,0.1415094339622641,0.4761904761904761,0.1886372234161575,0,中等价值用户
U0057,23,5,24182.06,0.0723270440251572,0.1904761904761904,0.1934247699997585,0,中等价值用户
U0058,69,6,19164.4,0.2169811320754717,0.238095238095238,0.1530376129878701,0,中等价值用户
U0059,8,9,12043.18,0.0251572327044025,0.3809523809523809,0.0957188966427611,0,中等价值用户
U0060,35,6,18882.61,0.110062893081761,0.238095238095238,0.150769484622381,0,中等价值用户
U0061,21,9,10192.28,0.0660377358490566,0.3809523809523809,0.0808209982372684,0,中等价值用户
U0062,209,2,47446.02,0.6572327044025157,0.0476190476190476,0.3806764381554906,2,低流失风险用户
U0063,122,9,12452.84,0.3836477987421384,0.3809523809523809,0.0990162509356965,2,低流失风险用户
U0064,39,4,26053.68,0.1226415094339622,0.1428571428571428,0.2084894437334492,0,中等价值用户
U0065,21,7,58275.45,0.0660377358490566,0.2857142857142857,0.4678425454164955,1,高价值用户
U0066,65,4,3835.56,0.2044025157232704,0.1428571428571428,0.02965574417051,0,中等价值用户
U0067,23,10,124390.16,0.0723270440251572,0.4285714285714285,1.0,1,高价值用户
U0068,4,8,37284.07,0.0125786163522012,0.3333333333333333,0.298882878967152,0,中等价值用户
U0069,67,5,22381.8,0.210691823899371,0.1904761904761904,0.1789344730720626,0,中等价值用户
U0070,15,5,12587.6,0.0471698113207547,0.1904761904761904,0.10010093448917,0,中等价值用户
U0071,4,6,70065.22,0.0125786163522012,0.238095238095238,0.5627384315714067,1,高价值用户
U0072,48,6,4975.04,0.1509433962264151,0.238095238095238,0.0388274213411247,0,中等价值用户
U0073,36,7,32635.33,0.1132075471698113,0.2857142857142857,0.2614651598934312,0,中等价值用户
U0074,1,8,35458.03,0.0031446540880503,0.3333333333333333,0.2841850787594877,0,中等价值用户
